"project_id","ENSG00000107625","ENSG00000141644","ENSG00000160058","ENSG00000111361","ENSG00000136682","ENSG00000110696","ENSG00000198060","ENSG00000160785","ENSG00000186001","ENSG00000125779","ENSG00000166170","ENSG00000163374","ENSG00000169180","ENSG00000035928","ENSG00000143971","ENSG00000120709","ENSG00000101654","ENSG00000100461","ENSG00000187866","ENSG00000137764","ENSG00000166716","ENSG00000105879","ENSG00000144848","ENSG00000114416","ENSG00000091542"
"TCGA-THCA",3825,3549,7453,2153,894,11141,2852,2789,1927,2379,5033,2300,5032,4365,1007,2155,4828,5936,1776,1667,5144,1823,3182,9012,7764
"TCGA-THCA",5457,5008,7463,2750,1082,14381,5646,2465,1710,2635,7449,2399,7946,7021,1173,1899,4288,7246,2660,2369,5333,3108,5376,13250,10072
"TCGA-THCA",2681,4075,7564,2368,805,10433,3075,2112,2000,1765,4691,1758,5581,3761,805,1299,3006,6421,1756,1457,3431,3060,3417,7571,8850
"TCGA-THCA",2648,3421,6304,1856,1249,9203,3868,2507,1607,1491,5155,1801,6501,5695,1107,1632,2946,6007,1929,1247,3899,1762,4163,7641,8093
"TCGA-THCA",2170,3076,6018,1694,795,8552,2870,1858,1191,1171,4030,1394,5881,4104,1016,1195,2353,4530,1989,1285,3751,1956,3661,6435,5801
"TCGA-THCA",2466,3160,5114,2916,528,9556,3650,1547,1158,1321,5967,1214,5557,3459,594,1247,2586,6625,1404,609,2142,3518,3337,6222,7897
"TCGA-THCA",3537,3824,6436,2410,706,10946,3088,1844,1898,2186,5121,1913,4465,5026,1174,1954,4772,4904,2090,1313,4630,1627,3391,9348,5652
"TCGA-THCA",3044,3898,6111,3905,990,9046,2401,1893,1447,2060,6082,1574,6855,3257,881,1269,2584,6128,1799,1605,2911,4655,3175,7829,12008
"TCGA-THCA",4112,4529,8164,2617,1051,13252,3501,2358,1638,2615,5639,2353,5406,5219,1023,1920,4904,5700,2242,1751,5253,1994,4230,9542,7731
"TCGA-THCA",4112,4037,7771,3043,1052,15317,4721,2658,1726,2474,6598,1994,4409,5245,1549,1711,4090,6744,2563,1309,4117,2457,4760,11538,8906
"TCGA-THCA",4812,4524,8215,3226,1040,17145,3912,3783,3137,3776,6498,2502,6993,5382,1181,1731,6277,7796,2966,2094,4744,2463,4959,13683,9759
"TCGA-THCA",2982,3459,6340,2222,739,9819,2667,2051,1247,1680,3870,1762,4500,3051,841,1111,3274,5138,1636,1053,3085,1334,3520,7907,6663
"TCGA-THCA",4480,3809,6674,2219,1023,14875,4574,2064,2399,2541,8770,1951,4369,5053,1383,1674,6216,6259,1723,1298,4380,1799,3828,11085,6423
"TCGA-THCA",3565,4458,6705,2269,1081,12604,3414,2513,1199,1588,5309,1808,6595,5332,1265,1375,3091,6431,2264,1332,4144,2773,5175,8201,9654
"TCGA-THCA",1890,2027,4464,2188,520,10305,2172,1431,928,1353,3796,1036,2793,1950,640,518,1258,3548,1651,665,1715,2788,2636,6650,6590
"TCGA-THCA",1968,2270,4746,1721,489,10716,2816,2140,1264,1542,3694,1169,4375,2074,606,951,2373,3765,1986,654,2300,1593,3325,5665,8020
"TCGA-THCA",3974,4838,7859,2630,1322,14359,3049,2544,1932,1752,4914,2616,6226,4937,1332,1450,4180,7200,2372,2013,4243,1601,4284,9135,8712
"TCGA-THCA",1323,1967,3726,1827,382,5644,1134,1888,740,797,1768,1610,2380,1188,462,824,1529,2398,428,662,1737,759,1797,4836,3676
"TCGA-THCA",1784,4497,9558,3909,1642,12560,4652,2889,1752,1635,5188,2075,5026,4068,1149,1230,3112,6747,2705,1706,3462,2589,4707,8665,10835
"TCGA-THCA",3593,4567,7663,2738,1281,14639,4110,2452,2055,2739,5369,2199,5048,4917,1146,1747,5056,6093,1908,1338,4450,1669,3883,8250,6313
"TCGA-THCA",4219,5677,12160,2822,1414,17265,5092,2752,2307,3070,4782,2933,6912,6116,1389,2079,5685,6989,2779,1872,5594,2257,5141,12018,10109
"TCGA-THCA",3338,4308,8624,2263,1032,12283,3186,2370,2082,2451,4052,2031,4716,4486,1056,1666,4632,5835,1877,1115,4204,1395,3378,8772,6633
"TCGA-THCA",2015,2499,5337,1780,550,9070,2396,1481,1046,1366,3851,1166,3104,2690,683,987,2587,3443,1164,683,2753,1036,2793,6585,4451
"TCGA-THCA",3151,5084,8728,2976,1096,13542,4177,2224,2183,2069,5833,2199,5610,4603,1208,1860,3964,6094,2104,1324,4930,1935,4254,10697,8563
"TCGA-THCA",2251,3515,8250,2726,746,11772,3329,1451,1516,2007,5200,1571,5138,3291,978,1017,3221,3487,1512,1081,3575,1397,3943,8423,6841
"TCGA-THCA",2743,3318,5609,2105,749,8790,2464,1725,1722,2539,3647,1678,5350,3212,1034,1217,3295,4944,1474,1558,2870,1857,2657,6208,6061
"TCGA-THCA",2533,3475,4758,1964,657,10644,2667,1403,1161,972,2934,1763,3828,2861,3806,1271,2690,4081,1328,1048,2863,1370,3425,5857,4561
"TCGA-THCA",2411,3158,6550,2278,674,9284,3336,1792,1506,1913,6589,1712,4508,3714,875,1531,3712,4590,1530,833,4229,1347,3270,7860,6797
"TCGA-THCA",3297,4273,9346,2835,987,13939,4588,3178,1823,2172,5423,2143,7757,5123,1126,1474,3622,6848,3119,1440,4983,3330,5619,9227,10804
"TCGA-THCA",3670,5251,8480,2760,840,11737,4490,2571,1602,2353,6418,2650,6425,5903,1000,2180,4050,7502,2342,1906,7658,2114,4082,10157,8377
"TCGA-THCA",1930,2081,5573,1363,535,7143,1981,1993,1173,1515,3680,1339,2734,2224,376,1534,2862,3388,817,758,2394,790,1852,5060,4255
"TCGA-THCA",2866,2791,6843,1708,833,11564,3288,3926,1706,1557,7104,1766,4689,2844,374,3264,4943,6117,1425,897,4202,1200,2963,8828,5376
"TCGA-THCA",3767,5217,9484,3252,947,13656,4560,2534,2209,2803,5817,2784,5799,7594,1214,2484,5760,6347,2429,1635,6782,2300,3721,11049,8399
