"project_id","ENSG00000042832","ENSG00000198804","ENSG00000115414","ENSG00000198886","ENSG00000153002","ENSG00000108821","ENSG00000198938","ENSG00000164733","ENSG00000168878","ENSG00000120885","ENSG00000164692","ENSG00000198712","ENSG00000198727","ENSG00000168542","ENSG00000198763","ENSG00000156508","ENSG00000198888","ENSG00000110484","ENSG00000198786","ENSG00000075624"
"TCGA-THCA",550822,863785,5285080,572265,0,58298,388046,784972,49734,127439,44938,192196,178694,51597,180596,490925,180044,0,148630,296694
"TCGA-THCA",2204965,635143,535787,403823,3,18202,253907,281848,12371,134953,14128,171738,197850,17477,129872,325518,134716,0,218693,201475
"TCGA-THCA",4567,282299,38371,220488,0,4961,142002,462449,23,785396,4657,153959,108930,2913,87022,439939,52901,0,38261,172691
"TCGA-THCA",9668539,478784,7837,260353,0,963,168195,497417,846,75959,13495,114757,132694,4813,84790,437222,59012,0,179836,133543
"TCGA-THCA",306887,1791478,2962820,1753157,0,78244,1238175,1164396,418776,778617,70829,715426,967742,54005,541833,401987,314440,0,371749,282410
"TCGA-THCA",1382105,1544844,27630,885282,0,2304,586284,423842,183,73909,16051,485013,584015,16625,289252,244714,347760,0,620570,249326
"TCGA-THCA",2073601,990286,780462,634429,0,42071,379389,555616,16186,361312,39122,324684,364208,36521,207320,476617,215592,0,520211,145682
"TCGA-THCA",874404,267877,991447,175456,0,62764,109789,290929,72585,276835,44263,87121,101798,41059,56065,436838,39559,0,128511,177763
"TCGA-THCA",850955,1317764,1928579,1449352,3,335615,806575,661428,72393,499583,194001,469716,689010,175716,402044,370408,396012,0,296526,217152
"TCGA-THCA",1877545,613136,23221,428555,0,9333,229139,271813,1663,117958,12633,190242,186954,10845,118446,573295,77687,0,178804,194126
"TCGA-THCA",565446,969410,3782805,808640,5,17424,472328,708834,46445,444569,9711,305107,309129,4937,243611,533366,163181,0,294870,208928
"TCGA-THCA",385320,372686,907962,254278,0,67434,137132,612733,41739,1049307,42522,149579,129604,48042,69500,535814,46498,0,163661,178724
"TCGA-THCA",1230254,1328378,1697117,864232,1,20054,604403,770156,114498,705997,13730,343791,400188,10300,231864,572286,245652,0,299790,166734
"TCGA-THCA",223423,4453449,1985988,3498803,6,682967,2325361,407250,11574,261437,448462,1867867,1807343,444611,993589,251537,978995,0,1352006,265417
"TCGA-THCA",282205,1149010,3235046,1458411,2,532690,828977,1430129,184036,741344,327494,541124,608707,359434,420743,649109,268786,0,327691,305542
"TCGA-THCA",1734379,919128,494824,555238,2,12809,321726,756252,25514,624935,10356,277230,306327,8096,182285,577905,144146,0,136975,172481
"TCGA-THCA",551543,1550132,2549540,1213785,0,42768,742957,1838752,83698,218996,27877,476011,619481,26893,539384,490694,333833,0,450839,191424
"TCGA-THCA",348211,1121638,2801332,1008070,3,55547,508659,863860,89910,213389,42730,263516,321440,41100,249522,372600,248255,0,421221,215296
"TCGA-THCA",2221251,913899,122533,585298,0,22392,351055,394859,16942,238556,24839,324962,315096,19101,231874,434030,160170,0,344877,288102
"TCGA-THCA",431062,2160865,2734732,1128866,0,122400,832448,981713,86439,983017,74164,622582,479288,70354,456681,726608,244686,0,376746,315702
"TCGA-THCA",977178,1224330,2213534,1023186,0,15649,635003,649112,86251,1130179,6016,316595,432257,7520,319542,541783,188787,0,204746,270137
"TCGA-THCA",857182,585322,2605928,433335,6,42216,400951,644581,19872,1506568,17059,266339,220396,19777,109592,868502,81239,0,202657,212519
"TCGA-THCA",5889510,559705,11674,452450,1,6874,236528,501632,2488,94648,21475,207685,189687,5175,151186,281714,82552,0,106470,126702
"TCGA-THCA",927122,1719968,1367138,1971530,2,23264,973964,358095,13447,466532,12073,967705,1163462,8414,595477,423343,257866,0,351213,248739
"TCGA-THCA",448083,780766,177960,993251,0,57074,668063,314494,23308,284010,36987,535906,601575,33583,588979,172940,511545,0,244616,131281
"TCGA-THCA",161734,1319403,4167675,1594558,1,259255,740131,933275,376814,704216,179140,483274,448311,110766,433595,322417,317927,0,147287,440572
"TCGA-THCA",394330,87672,194447,25488,5,8531,52348,573112,17851,655613,4047,58180,16127,1959,9841,141456,11013,0,4809,107842
"TCGA-THCA",5406278,683909,5309,466125,1,3918,278578,721098,1595,110715,17995,215637,191043,5105,127767,325849,98045,1,159411,83766
"TCGA-THCA",1097659,493483,569478,421515,0,40470,214410,404305,58726,491700,37779,169819,169071,29426,139612,334737,82087,0,116588,234671
"TCGA-THCA",5426814,589335,13455,401853,0,7165,220434,812074,252,61041,19515,150100,179649,7561,110522,374296,113228,0,199776,151404
"TCGA-THCA",142089,1137319,1743033,1048813,0,25613,564353,361990,132206,318142,12494,334806,700282,7517,372522,159615,305951,1,286799,135798
"TCGA-THCA",789994,639263,821998,467773,2,245337,263603,587905,101498,698505,121642,185916,227196,110255,145183,295138,130296,2,147458,249977
"TCGA-THCA",545165,4141071,880747,3093627,0,43697,2221966,670309,131137,279690,29542,1833396,2967347,22496,2151994,257033,1463048,2,1317313,214631
"TCGA-THCA",7355426,750331,54224,554630,5,19101,328372,643942,4986,111942,21157,222889,297738,11975,220021,317048,199434,0,237347,240514
"TCGA-THCA",908006,826610,3441822,1375830,2,625461,619786,764899,174329,599400,331490,350219,355445,293651,414353,567914,141708,0,117478,275339
"TCGA-THCA",292203,1376699,2393306,1021857,0,72012,595304,1027769,373895,856178,27769,475194,333010,17834,243506,413555,202646,0,360201,276827
"TCGA-THCA",1524253,405883,231568,169724,0,20381,255737,691176,25310,881662,13588,260459,105094,7982,94253,430135,83375,0,44385,196676
"TCGA-THCA",4605745,569255,828976,384715,1,27041,210969,637416,9121,585347,22354,181155,165635,17349,112631,613343,97932,0,150382,140553
"TCGA-THCA",4215969,470596,668158,240663,2,12613,145878,1154997,23349,415533,11122,137320,131292,10115,83275,733576,80826,0,159190,168504
"TCGA-THCA",4384873,2823923,37826,1914104,3,4934,1102566,952066,160,28037,9467,825586,530958,9206,466331,413120,645055,0,660113,244957
"TCGA-THCA",289518,3778966,59491,2491118,1,2227,1944190,729673,706,11197,8286,1340482,729845,5575,471628,204439,684697,0,720348,176182
"TCGA-THCA",1636521,2475806,36063,2211833,1,478,1537909,950508,273,10166,2209,937278,992433,1511,768528,378540,963470,0,631326,213848
"TCGA-THCA",5409288,657121,32494,576594,2,24394,404865,136854,673,37202,33999,193595,333461,27869,239131,223461,194807,0,204824,234084
"TCGA-THCA",2378178,778012,3577,505048,1,4022,336589,124494,78,9122,12046,199027,224377,3348,187885,111565,188762,0,154035,138087
"TCGA-THCA",798901,1462283,2788391,1567747,0,49555,938282,846508,46645,488053,35017,566083,950491,31149,557306,490310,465366,0,702718,230275
"TCGA-THCA",7520168,1745309,10883,1035979,0,680,1653331,715723,119,32927,4379,512363,769123,4846,557688,341417,483956,0,359806,120419
"TCGA-THCA",7886454,755222,8475,432265,1,3910,199191,587802,157,213239,8405,192182,199612,5074,112421,355232,112649,0,264265,169226
"TCGA-THCA",8584883,3906899,12769,2748355,2,3457,2650726,1584477,111,4777,11169,1481666,1635211,9581,750407,276817,695406,0,820992,218855
"TCGA-THCA",561408,2446852,28249,1476133,0,2240,821044,611721,1243,48674,2719,696460,640510,2750,410765,295041,567450,0,575303,199919
"TCGA-THCA",7436676,1283784,95023,1100429,0,7327,443170,1242133,6941,118853,12500,293851,460451,8499,325571,629007,344294,0,289878,258972
"TCGA-THCA",5468274,355230,18570,307157,0,7235,261544,599462,94,597105,17287,400205,152214,10508,99832,281202,93287,5,68809,173217
"TCGA-THCA",3271504,396829,1189834,272106,0,78376,140402,304362,5861,433054,67483,157344,178648,81426,82258,629752,67428,1,152923,128068
"TCGA-THCA",5740151,42230,22928,29785,1,13684,17866,881940,83,25983,18268,12945,19929,16474,14577,687673,12945,0,18414,252012
